Site,Urban,NatEx,Bioregion,Size,SQQ,Water Depth,Imp 5km,Imp2km,Imp1km,Imp500m,NDVI2km,NDVI1km,NDVI500m,Trees 5km,Trees2km,Trees1km,Trees500m,House500,House1km,House2km,House5km,Light500m,Light1km,Light2km,Light5km,Road500m,Road1km,Road2km,Road5km,Distriver,Distwetland,Distwater,Distbushland,Aqvegcov,EphemVeg,TreeCoverage,TreesLarge>20dbh.plot,TreesSmall<20dbh.plot,Trees total.plot,Shrubs.plot,Hollows.total,Otherroostsnumber.total,TotalRoost,Distance1sttree
Jackropper,NA,1,4,51348.70401,5.701208039,3.0,297.9402645,329.8175793,263.5050245,382.180919,0.407134509,0.459304401,0.473926689,15335,9586,3426,635,830247.8828,4094629.997,33396175.31,129839956.1,0.0,62.6159859,62.6481667,62.6508331,112.6712555,124.5999602,128.378605,117.4529916,2689.257321,1092.27,1092.27,1072.3,0.03,0.8,0.45,5,3,8,15,0,0,0,3.0
Kalparrin,NA,NA,2,8867.179,3.345699894,1.5,256.1164081,247.6530756,262.7098268,208.932285,0.434077775,0.410090396,0.480128632,16425,111496,26265,6525,732139.0028,17574771.83,29335396.24,172548402.0,60.9102554,60.583149,60.4127846,55.1628647,108.4491821,107.6104388,115.211094,105.3199236,266.2034513,2452.21,266.2034513,899.97,0.01,0.05,0.65,3,2,5,5,1,3,4,1.0
Kinterbury,NA,1,4,1259.51324,1.654573197,2.5,394.3755235,351.5434855,314.2818891,278.067454,0.288536329,0.422146447,0.480349903,442,507,267,236,861359.7641,3254539.582,27610606.22,255702533.7,NA,62.8010788,62.1671486,55.0982666,NA,NA,NA,NA,5850.791528,370.42,370.42,428.65,0.8,0.78,0.05,4,2,6,0,0,0,0,10.0
Koonung,NA,1,1,2190.03574,0.100762203,1.8,242.9737693,249.3806823,217.2468992,197.73715,0.42581457,0.421429847,0.457673348,154467,82413,20779,4052,813528.3377,20871838.49,50522803.67,174943458.3,61.7374992,61.5767746,61.6731262,62.3493958,109.1773013,113.3908268,117.4834362,113.7519235,4013.114895,105.08,105.08,458.35,0.66,1.0,0.15,1,4,5,0,0,0,0,6.0
Lakewood,NA,1,1,42646.74831,0.232753594,3.0,438.5933096,461.0008654,418.1497881,367.753939,0.371665045,0.401805782,0.457996888,6960,40953,10318,1210,642635.6022,20679692.03,132312179.0,256380011.4,62.0125008,62.0437889,62.0490913,61.9361649,98.8515387,108.9544862,113.8495833,115.1803792,14539.90716,813.14,813.14,135.75,0.02,1.0,0.07,3,0,3,0,2,1,3,19.0
Landcox,NA,2,1,3356.24411,0.189365699,3.0,328.2643259,315.961281,292.8998543,274.247969,0.347886283,0.341364722,0.365105482,18674,20767,15910,5171,970027.5003,8209725.408,35235728.85,197347981.5,NA,62.0110321,62.3586845,62.8039627,91.25031025,104.5374237,108.4696193,110.3813114,8047.896855,2168.27,2168.27,2575.31,0.1,0.75,0.25,2,0,2,15,5,2,7,3.0
Leamington,NA,1,4,8830.96619,4.387203424,4.0,262.5385451,239.8847214,215.5756895,150.65529,0.361941692,0.355098498,0.425569049,25579,21632,5649,1870,1529496.149,4549988.05,15710969.45,210266270.6,62.2678566,62.0947723,62.2377586,62.4511833,123.8790443,139.8751483,136.6622863,114.821269,1360.017144,271.8,271.8,2234.55,0.25,0.6,0.15,0,1,1,0,0,0,0,0.5
Lilydale,NA,1,2,319300.0,0.2569,3.0,229.0605131,244.1099782,314.7075753,282.822703,0.433318207,0.387943112,0.219095863,164965,61226,13539,4039,745572.3079,3692934.418,14609193.65,87389351.23,NA,53.6597672,53.6172752,21.6865273,153.4437802,118.8413009,136.8819075,136.4907248,6412.546638,329.92,329.92,1627.78,0.03,0.85,0.1,4,66,70,0,46,4,50,2.0
Mill Park,NA,NA,4,15321.20884,0.220265545,1.1,258.7868976,274.8028093,297.8475869,231.499918,0.362155322,0.463548073,0.317023164,346,1296,335,39,611326.4801,3263134.912,84700483.69,226543760.1,NA,NA,57.3878098,57.9404755,85.11533325,99.34550565,99.310354039999993,101.6427525,2473.745001,372.05,372.05,548.35,0.3,0.75,0.03,1,0,1,0,0,0,0,1.0
Monteray,NA,2,1,2229.80299,0.541005496,3.0,264.3314206,232.3127207,234.5714309,238.976742,0.458186078,0.461243206,0.453746257,137,72069,22856,3804,684297.8933,3127807.565,13272692.44,128391096.6,51.7530861,49.5355034,51.8070641,58.3253021,92.89791794,102.8168844,103.1117869,112.8386788,5681.694411,311.77,311.77,963.09,0.8,0.01,1.0,4,1,5,0,4,2,6,1.0
