Site,Habitat,Season,Chgouldii,Chmorio,CG/Mormlp,MormII,Mschocean,Nyctspp,Mmacropus,Nspp/Mmacr,Scotspp.,Taustralis,Vdarlingtoni,Vregulus,Vvulturnus,Unidentified,BatSpecies,BatActivity,Col,Dip,Eph,Hem,Lep,Hym,Tri,Manto,Psoc,Orth,Neur,Derm,Bla,Iso,Odo,Plec,Insectabundance,TotalOrder,Moon,NatEx,Bioregion,Size,SQQ,Water Depth,Imp 5km,Imp2km,Imp1km,Imp500m,NDVI2km,NDVI1km,NDVI500m,Trees 5km,Trees2km,Trees1km,Trees500m,House500,House1km,House2km,House5km,Light500m,Light1km,Light2km,Light5km,Road500m,Road1km,Road2km,Road5km,Distriver,Distwetland,Distwater,Distbushland,Aqvegcov,EphemVeg,TreeCoverage,TreesLarge>20dbh.plot,TreesSmall<20dbh.plot,Trees total.plot,Shrubs.plot,Hollows.total,Otherroostsnumber.total,TotalRoost,Distance1sttree,Temp,Humidity
Brodies,1,1,23,1,2,0,1,2,0,2,0,5,147,2,0,0,8,183,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,12,2,1,1,4,7044.78675,1.188704339,2.5,275.9307228,279.7883834,302.7063647,247.793454,0.441629825,0.387254702,0.573921678,81631,14482,3277,672,708232.8815,2954006.391,12915739.15,97616672.13,45.7804871,41.3408394,49.3751106,46.4381485,181.190437,149.7747287,135.003564,118.9360413,4407.12625,81.51,81.51,146.6,0.19,0.3,0.05,1,15,16,0,3,1,4,5,15.58671698,84.25037736
Brodies,1,2,13,0,0,0,0,0,0,0,0,40,55,0,0,1,4,109,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,4,7044.78675,1.188704339,2.5,275.9307228,279.7883834,302.7063647,247.793454,0.441629825,0.387254702,0.573921678,81631,14482,3277,672,708232.8815,2954006.391,12915739.15,97616672.13,45.7804871,41.3408394,49.3751106,46.4381485,181.190437,149.7747287,135.003564,118.9360413,4407.12625,81.51,81.51,146.6,0.19,0.3,0.05,1,15,16,0,3,1,4,5,9.3985,85.01804717
Bundoora,1,1,121,13,2,0,0,1,0,1,11,0,0,0,12,12,7,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1883.70656,0.171959171,3,261.0741336,270.9356643,265.3333488,344.891284,0.460976283,0.49846069,0.49741246,7367,12685,8438,1960,2829056.817,12801241.01,83966742.04,257969663.5,61.8271599,61.6980476,61.8342552,62.4149742,140.1015854,122.6408827,106.4241688,111.1293855,842.0738411,57.24,57.24,786.66,0.11,0.01,0.03,1,0,1,0,0,0,0,12,16.11882653,56.51138776
Bundoora,1,2,61,2,1,0,0,1,0,1,4,16,0,0,4,2,8,91,0,64,0,0,12,2,18,0,0,0,1,0,0,0,0,0,97,5,2,1,1,1883.70656,0.171959171,3,261.0741336,270.9356643,265.3333488,344.891284,0.460976283,0.49846069,0.49741246,7367,12685,8438,1960,2829056.817,12801241.01,83966742.04,257969663.5,61.8271599,61.6980476,61.8342552,62.4149742,140.1015854,122.6408827,106.4241688,111.1293855,842.0738411,57.24,57.24,786.66,0.11,0.01,0.03,1,0,1,0,0,0,0,12,15.69167925,72.17131132
Canterbury,1,1,210,25,2,4,7,7,0,7,13,0,1,0,28,49,11,346,57,6,0,134,21,6,1,0,7,0,1,0,0,0,0,0,233,8,2,2,1,5787.31621,0.655123603,2.6,345.6930736,618.0168038,704.2707478,564.073538,0.40832123,0.319144521,0.416474997,177385,34293,8517,302,960673.8344,4510357.42,18729501.62,108630899,61.2025299,61.4614487,60.4191284,47.439537,118.7722755,147.4873318,124.4210966,114.4526727,10962.90311,1220.03,1220.03,805.34,0.79,1,0.1,5,6,11,2,0,0,0,5,16.95808163,75.01942265
Canterbury,1,2,287,11,11,1,1,6,1,7,6,0,0,0,9,10,10,343,13,1,0,0,4,1,0,0,1,0,2,0,0,1,0,0,23,7,1,2,1,5787.31621,0.655123603,2.6,345.6930736,618.0168038,704.2707478,564.073538,0.40832123,0.319144521,0.416474997,177385,34293,8517,302,960673.8344,4510357.42,18729501.62,108630899,61.2025299,61.4614487,60.4191284,47.439537,118.7722755,147.4873318,124.4210966,114.4526727,10962.90311,1220.03,1220.03,805.34,0.79,1,0.1,5,6,11,2,0,0,0,5,15.81613725,84.71934314
Carramar,1,1,23,2,1,0,7,2,0,2,0,0,0,2,48,1,8,86,0,2,0,1,8,1,0,0,0,0,0,0,0,0,0,0,12,4,1,NA,1,7379.36204,0.0775,2,363.8472654,372.4890936,428.2955867,415.703883,0.446802314,0.338139714,0.34483202,5343,3492,214,170,1890516.175,6352213.471,18455991.14,101283765.3,NA,57.4642868,56.985157,57.3846321,113.2751118,115.3914304,129.9608197,133.5956598,28471.8502,238.77,238.77,329.34,0.02,0,0.01,2,0,2,0,0,2,2,2,14.86576471,73.3275
Carramar,1,2,14,2,2,0,0,2,0,2,0,0,0,0,6,1,6,27,0,4,0,0,13,7,2,0,0,0,0,0,0,0,0,0,26,4,2,NA,1,7379.36204,0.0775,2,363.8472654,372.4890936,428.2955867,415.703883,0.446802314,0.338139714,0.34483202,5343,3492,214,170,1890516.175,6352213.471,18455991.14,101283765.3,NA,57.4642868,56.985157,57.3846321,113.2751118,115.3914304,129.9608197,133.5956598,28471.8502,238.77,238.77,329.34,0.02,0,0.01,2,0,2,0,0,2,2,2,14.43966981,86.00573585
Cherry,1,1,0,3,1,0,0,1,0,1,0,11,0,0,24,2,6,42,581,136,0,194,593,108,1068,0,7,0,0,0,0,0,0,0,2687,7,2,NA,4,605600,2.555963344,4,565.5965752,378.7496625,278.8295053,334.68036,0.187942695,0.316745843,0.277531854,3101,5629,2947,725,717043.2709,21849009.88,61802247.47,140921523.1,62.5,62.7232132,61.6994247,60.9431801,124.8441743,136.4564747,133.3613015,123.6097848,5235.478682,421.42,421.42,7289,0.02,0.6,0.15,1,0,1,0,0,0,0,32,22.88728571,73.40832653
Cherry,1,2,80,0,14,0,0,1,0,1,0,6,0,0,11,4,6,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,4,605600,2.555963344,4,565.5965752,378.7496625,278.8295053,334.68036,0.187942695,0.316745843,0.277531854,3101,5629,2947,725,717043.2709,21849009.88,61802247.47,140921523.1,62.5,62.7232132,61.6994247,60.9431801,124.8441743,136.4564747,133.3613015,123.6097848,5235.478682,421.42,421.42,7289,0.02,0.6,0.15,1,0,1,0,0,0,0,32,17.66366038,82.07457547
