Site,Season,Urban,Chgouldii,Chmorio,CG/Mormlp,MormII,Mschocean,Nyctspp,Mmacropus,Nspp/Mmacr,Scotspp.,Taustralis,Vdarlingtoni,Vregulus,Vvulturnus,Unidentified,BatSpecies,BatActivity,Col,Dip,Eph,Hem,Lep,Hym,Tri,Manto,Psoc,Orth,Neur,Derm,Bla,Iso,Odo,Plec,Insectabundance,TotalOrder,Moon,Temp,Humidity
19,1,high,276,0,9,0,0,2,0,2,3,1,0,0,0,10,7,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17.37822449,82.64318367
19,2,high,220,0,30,0,0,3,2,5,1,0,0,0,1,1,7,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.59703704,75.01942265
20,1,moderate,80,1,4,0,0,0,0,0,0,1,0,0,1,3,6,90,45,1,0,1,31,157,0,0,0,0,0,0,0,0,0,0,235,5,1,16.577,72.23825472
20,2,moderate,26,5,1,0,0,0,0,0,0,7,2,0,1,6,7,48,4,1,0,1,4,6,0,0,0,0,0,0,0,0,0,0,16,5,1,16.15018868,75.01942265
22,1,open,20,2,1,0,0,1,0,1,2,0,0,0,2,0,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22.58164151,75.01942265
22,2,open,48,0,5,0,0,1,0,1,2,7,3,0,0,0,7,66,1,5,0,1,31,1,2,0,0,0,0,0,0,0,0,0,41,6,2,17.32122642,69.74230189
25,1,high,2,1,3,0,0,0,1,1,0,4,0,0,5,2,7,18,20,28,0,8,14,18,1,0,0,0,1,0,0,0,0,0,90,7,2,22.58164151,75.01942265
25,2,high,30,1,0,0,0,0,0,0,1,2,0,0,2,1,6,37,0,1,0,4,10,4,2,0,0,0,3,0,0,0,0,0,24,6,2,15.76178302,75.01942265
26,1,high,20,10,0,0,0,4,2,6,12,1,6,3,11,14,10,83,111,13,0,2,66,19,3,0,2,0,0,0,0,0,0,0,216,7,1,17.39133962,75.01942265
26,2,high,5,2,0,0,0,0,0,0,0,0,1,0,1,0,4,9,5,7,0,1,38,16,7,0,0,2,0,0,0,0,0,0,76,7,2,10.79133019,90.46303774
27,1,open,30,7,0,0,0,0,0,0,2,0,5,1,11,0,6,56,48,3,1,17,80,20,0,0,2,0,0,0,2,1,0,0,174,9,2,22.90421698,55.54477358
27,2,open,37,5,3,0,1,1,1,2,2,8,10,2,4,1,12,75,4,2,0,0,29,5,0,0,0,0,0,0,0,0,0,0,40,4,1,16.73490566,68.15221698
28,1,open,7,1,0,0,0,0,0,0,2,2,0,0,2,2,6,16,43,1,0,84,8,71,0,0,0,0,0,1,0,0,0,0,208,6,2,23.15016981,75.01942265
28,2,open,29,0,0,0,1,0,0,0,0,18,0,0,2,0,4,50,1,7,0,1,9,3,0,0,0,0,0,0,0,0,0,0,21,5,2,16.024,75.01942265
30,1,moderate,24,3,0,0,0,1,0,1,1,3,0,0,17,2,7,51,2,2,0,9,175,19,4,0,0,1,0,0,1,0,0,0,213,8,1,15.65470999,75.818758
30,2,moderate,18,4,12,0,3,1,0,1,1,0,3,0,12,4,9,58,9,10,0,33,46,18,3,0,0,0,0,0,0,0,0,0,119,6,2,11.46779245,90.98340566
31,1,high,17,12,0,0,0,3,0,3,0,3,6,31,6,1,8,79,16,16,0,2,51,9,3,0,1,0,0,0,0,0,0,0,98,7,1,18.19673585,78.2790566
31,2,high,0,2,0,0,2,0,0,0,0,1,0,0,5,0,4,10,10,10,0,12,126,12,3,0,0,0,0,0,0,0,0,0,173,6,2,12.59588679,90.98340566
32,1,moderate,63,1,0,0,0,1,0,1,0,1,5,30,1,3,8,105,39,2,0,1,49,2,0,0,2,0,0,0,0,0,0,0,95,6,2,18.89198113,81.84533019
32,2,moderate,78,1,17,0,0,2,0,2,2,0,0,1,2,1,8,104,113,1,0,10,54,12,2,0,0,0,0,0,0,0,0,0,192,6,1,25.00692453,42.01990566
33,1,high,80,0,0,0,0,0,0,0,2,1,0,0,1,0,5,84,8,3,0,3,22,2,1,0,0,0,0,0,0,1,0,0,40,7,2,23.59703704,75.01942265
33,2,high,73,0,0,0,0,9,1,10,7,8,0,0,0,6,6,104,37,1,0,1,35,6,0,0,0,0,0,1,0,0,0,0,81,6,1,22.59372549,75.01942265
34,1,moderate,23,0,5,0,0,1,0,1,1,14,0,0,0,3,6,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17.85422538,82.97313315
34,2,moderate,14,1,1,0,1,0,0,0,1,0,0,0,2,0,6,20,49,3,0,14,44,16,2,0,1,0,1,0,0,1,0,0,131,9,1,23.59703704,75.01942265
35,1,moderate,201,49,1,0,0,2,1,3,13,0,0,0,27,25,8,319,134,24,0,17,232,13,12,0,0,1,2,0,0,0,0,0,435,8,2,18.99949091,80.60021818
35,2,moderate,140,6,38,0,0,1,0,1,3,1,2,0,6,6,9,203,72,37,0,58,136,13,6,0,0,0,1,0,0,0,0,0,323,7,2,20.86039623,75.01942265
36,1,high,43,6,2,0,0,0,0,0,1,0,0,2,9,2,7,65,16,4,0,19,22,6,0,0,1,0,0,0,0,0,0,0,68,6,2,16.75966038,75.01942265
36,2,high,85,2,0,0,0,2,0,2,20,9,1,0,1,40,8,160,51,46,0,70,177,36,17,0,1,1,2,0,5,0,0,1,407,11,2,24.04886792,90.98340566
37,1,high,42,47,1,0,0,10,0,10,2,24,9,7,134,4,10,280,163,20,0,6,839,14,19,0,0,2,0,0,0,1,0,0,1064,8,2,22.18849616,66.96336108
37,2,high,0,70,0,0,13,0,0,0,0,0,0,0,15,0,3,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22.18849616,66.96336108
38,1,high,50,0,0,0,0,0,0,0,2,3,1,0,4,2,6,62,91,1,0,2,86,120,0,0,0,0,0,11,0,0,0,0,311,6,2,17.85422538,82.97313315
38,2,high,50,2,2,0,0,0,0,0,0,8,0,0,2,0,5,64,51,13,0,17,93,3,12,0,0,0,0,1,0,0,0,0,190,7,2,16.83195283,76.7615
39,1,moderate,36,2,3,0,0,1,1,2,0,4,0,0,4,2,8,53,19,9,0,3,79,2,0,0,0,0,3,0,0,0,0,0,115,6,2,16.75966038,75.01942265
39,2,moderate,30,2,0,0,0,2,0,2,1,1,0,0,11,0,7,47,1,1,0,1,84,1,0,0,1,0,0,0,0,0,0,0,89,6,1,17.49127358,79.94356604
40,1,high,13,21,0,0,0,4,1,5,0,0,1,0,133,2,7,175,66,90,0,6,382,18,21,0,0,1,0,0,0,0,0,0,584,7,2,14.88914151,78.12130189
40,2,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.88914151,78.12130189
41,1,high,65,7,18,0,0,5,1,6,1,2,3,0,13,2,10,117,17,3,0,4,52,4,1,0,2,0,0,0,0,0,0,0,83,7,2,15.14685849,78.34390566
41,2,high,13,2,0,1,0,2,1,3,0,3,2,0,3,2,9,29,12,4,0,1,13,1,0,0,0,0,0,0,0,0,0,0,31,5,1,14.72606863,87.31934314
43,1,moderate,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,1,0,1,17,0,0,0,0,0,0,0,0,0,0,0,19,3,1,15.20726,64.93488
43,2,moderate,34,0,0,0,0,0,0,0,0,5,0,0,1,1,4,41,11,0,0,2,11,3,1,0,1,0,0,0,0,1,0,0,30,7,1,22.97242157,75.01942265
44,1,moderate,149,21,20,2,0,2,0,2,1,0,0,3,32,0,8,230,1,5,0,3,31,26,4,0,0,0,0,0,0,0,0,0,70,6,2,22.74476415,54.7659434
44,2,moderate,35,20,3,0,4,7,9,16,1,1,2,0,19,1,11,102,0,8,0,1,106,10,29,0,0,0,1,0,0,0,0,0,155,6,1,16.14532075,83.61231132
45,1,open,9,0,1,0,0,0,0,0,0,0,0,0,2,0,3,12,38,1,0,12,30,45,0,0,0,0,0,0,0,0,0,0,126,5,1,16.49072642,72.71233962
45,2,open,6,0,4,0,0,0,0,0,0,2,0,0,0,0,3,12,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,2,1,16.15018868,75.01942265
