Site,Season,Urban,Chgouldii,Chmorio,CG/Mormlp,MormII,Mschocean,Nyctspp,Mmacropus,Nspp/Mmacr,Scotspp.,Taustralis,Vdarlingtoni,Vregulus,Vvulturnus,Unidentified,BatSpecies,BatActivity,Col,Dip,Eph,Hem,Lep,Hym,Tri,Manto,Psoc,Orth,Neur,Derm,Bla,Iso,Odo,Plec,Insectabundance,TotalOrder,Moon,Temp,Humidity
Elizabeth,2,NA,125,9,12,0,1,2,0,2,6,42,4,0,3,13,10,217,23,12,0,0,33,5,8,0,0,1,0,0,0,0,0,0,82,6,1,16.10291176,75.01942265
Elsternwick,1,NA,36,0,0,0,0,1,0,1,1,3,0,0,1,0,5,42,5,6,67,0,22,2,185,0,0,0,0,0,0,0,0,0,287,6,1,14.57596939,68.40652041
Elsternwick,2,NA,160,0,4,0,0,0,0,0,3,6,0,0,0,2,5,175,105,72,4,13,35,2,375,0,0,0,0,5,0,0,0,0,611,8,1,22.08543137,60.28662745
Epsom,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,55,0,4,51,1,0,0,0,0,0,0,0,0,0,0,117,5,2,17.37822449,82.64318367
Epsom,2,NA,39,0,39,0,0,0,0,0,0,0,0,0,0,0,2,78,4,25,0,0,35,2,3,0,0,0,0,0,0,0,0,0,69,5,2,14.03964151,82.10389623
Ferny Crrek,1,NA,226,65,3,6,2,2,0,2,5,21,55,33,34,14,12,466,12,39,0,0,7,1,3,0,0,0,0,1,0,2,0,0,65,7,2,16.36488298,75.01942265
Ferny Crrek,2,NA,92,125,1,1,17,2,0,2,9,53,108,61,68,10,13,547,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,8,4,1,15.62208824,84.54022549
Greenslope,1,NA,44,79,0,0,11,19,6,25,2,1,0,1,43,10,10,216,52,84,0,3,91,28,1,0,1,0,2,0,0,0,0,0,262,8,2,16.25975472,74.73199057
Greenslope,2,NA,24,20,0,0,2,2,0,2,1,0,1,0,29,1,8,80,30,3,0,11,65,11,1,0,0,2,0,0,0,0,0,0,123,7,1,17.10803922,79.45126471
Herritage,1,NA,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,7,0,1,45,5,4,0,0,0,0,0,0,0,0,0,64,6,1,13.39887755,78.2997449
Herritage,2,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,20,17,0,9,0,1,0,0,0,0,0,0,0,0,0,47,4,2,14.22387736,85.50573585
Highlands,1,NA,5,1,5,0,0,1,0,1,2,1,185,29,2,1,10,232,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,18.20976697,67.73764149
Highlands,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,3,0,0,0,0,0,0,0,0,0,13,4,2,9.855669811,82.71540566
Hill Lake,1,NA,72,16,2,0,20,1,0,1,0,1,0,0,80,8,8,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.08907143,75.26493878
Hill Lake,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,17.68966997,75.01942265
